0; 10000
234; 20000
1090; 30000
1336; 40000
2427; 50000
2876; 60000
3876; 70000
6854; 80000
8212; 90000
8735; 100000
10843; 110000
14112; 120000
15254; 130000
15827; 140000
16165; 150000
16897; 160000
17660; 170000
18324; 180000
18905; 190000
19287; 200000
20006; 210000
20782; 220000
21475; 230000
22088; 240000
22409; 250000
23099; 260000
23965; 270000
24735; 280000
25633; 290000
26223; 300000
27099; 310000
28420; 320000
29395; 330000
29998; 340000
30646; 350000
31496; 360000
33067; 370000
33773; 380000
34418; 390000
35043; 400000
36143; 410000
37445; 420000
38172; 430000
38757; 440000
39190; 450000
40098; 460000
40914; 470000
41542; 480000
41898; 490000
42312; 500000
43178; 510000
44097; 520000
44651; 530000
45001; 540000
45524; 550000
46287; 560000
47190; 570000
47661; 580000
48094; 590000
48774; 600000
49358; 610000
50004; 620000
50138; 630000
50138; 640000
50459; 650000
50616; 660000
51124; 670000
51258; 680000
51377; 690000
51579; 700000
51736; 710000
52244; 720000
52378; 730000
52609; 740000
52789; 750000
52829; 760000
53351; 770000
53527; 780000
53819; 790000
54259; 800000
54719; 810000
55572; 820000
56277; 830000
56957; 840000
57381; 850000
57841; 860000
58412; 870000
58908; 880000
59101; 890000
59101; 900000
59115; 910000
59532; 920000
60118; 930000
60221; 940000
60221; 950000
60235; 960000
60854; 970000
61267; 980000
61341; 990000
61341; 1000000
61341; 1010000
61908; 1020000
62474; 1030000
62474; 1040000
62474; 1050000
62551; 1060000
62937; 1070000
63466; 1080000
63466; 1090000
63466; 1100000
63466; 1110000
63560; 1120000
63626; 1130000
63626; 1140000
63626; 1150000
63626; 1160000
63626; 1170000
63626; 1180000
63626; 1190000
63626; 1200000
63626; 1210000
63626; 1220000
63626; 1230000
63626; 1240000
63626; 1250000
63626; 1260000
63626; 1270000
63626; 1280000
63626; 1290000
63626; 1300000
63626; 1310000
63626; 1320000
63626; 1330000
63626; 1340000
63626; 1350000
63626; 1360000
63626; 1370000
63626; 1380000
63626; 1390000
63626; 1400000
63626; 1410000
63626; 1420000
63626; 1430000
63626; 1440000
63626; 1450000
63626; 1460000
63626; 1470000
63626; 1480000
63626; 1490000
